0.00, -35.00,
0.70, -13.90,
0.00, -31.70,
0.70, -13.00,
0.70, -12.00,
0.50, -17.20,
0.40, -21.30,
0.20, -23.60,
0.80, -14.60,
0.00, -29.80,
0.00, -20.00,
0.00, -20.00,
0.00, -28.00,
0.00, -28.60,
0.00, -28.00,
0.00, -28.60,
0.00, -28.00,
0.00, -24.00,
0.00, -25.50,
0.00, -24.50,
0.10, -26.10,
0.00, -24.00,
0.10, -25.90,
0.10, -25.50,
0.00, -24.90,
0.00, -27.20,
0.00, -28.40,
0.10, -25.10,
0.00, -24.00,
0.00, -25.80,
0.00, -26.40,
0.10, -24.90,
0.20, -20.30,
0.20, -22.30,
0.10, -23.80,
0.00, -25.20,
0.30, -20.40,
0.20, -22.60,
0.10, -22.30,
0.00, -25.70,
0.00, -26.80,
0.00, -28.90,
0.00, -29.30,
0.00, -26.90,
0.00, -26.40,
0.00, -27.70,
0.00, -28.30,
0.10, -23.70,
0.00, -27.40,
0.00, -27.80,
0.00, -25.60,
0.10, -24.20,
0.00, -30.40,
0.00, -29.50,
0.00, -29.40,
0.00, -28.20,
0.00, -28.10,
0.00, -29.10,
0.10, -23.60,
0.00, -27.30,
0.00, -26.80,
0.20, -19.70,
0.00, -29.50,
0.10, -21.80,
0.00, -27.50,
0.10, -20.40,
0.00, -22.40,
0.00, -25.40,
0.00, -25.70,
0.00, -23.40,
0.00, -24.00,
0.00, -22.40,
0.00, -22.60,
0.00, -25.40,
0.00, -25.20,
0.00, -23.50,
0.00, -20.80,
0.00, -23.00,
0.00, -22.50,
0.00, -21.80,
0.00, -22.90,
0.00, -23.10,
0.00, -22.30,
0.00, -24.70,
0.00, -26.00,
0.00, -24.00,
0.00, -25.20,
